"ID";"source";"A1_1_dia_mes_anio";"A1_05";"A1_2_dia_mes_anio";"A2_1";"A2_2_Mun_1";"Mun_2";"Mun_3";"Mun_4";"Mun_5";"A2_3";"A2_4_GPS";"A_3";"A_4";"A_5";"A_6";"A_7";"A_8";"A_9";"a_10";"a_10_otro";"a10_1";"B_1";"B_1(a)";"B_1(b)";"B_1(c)";"B_1(d)";"B_2";"B_3";"B_3(a)";"B_3(b)";"B_3(c)";"B_3(d)";"B3_1";"B_4";"B_5";"B_6";"C_1";"C_1(a)";"C_1(b)";"C_1(c)";"C_1(d)";"C_2";"C_21";"C_22";"C_23";"C_24";"C_3";"C_31";"C_32";"C_33";"C_34";"C_35";"C_4";"C_41";"C_42";"C_43";"C_5";"D_1";"D_2";"D_21";"E_1";"E_10";"E_10_otro";"E_11";"E_111_E_112_E_113_E_114";"E_12";"E_121_E_122_E123";"E_13";"E_14";"E_15";"E_16";"E_17";"E_18";"E_19";"E_19_otro";"E_110_mas_relevante";"E_110_medianmente_relevante";"E_110_menos_relevante";"duracion";"duracion_cat"
"CorreosMasivos_81";"MapeoSNPS";1/2/2017;1;1/11/2018;"Antioquia";"Medellín";999;999;999;999;0;999;999;" ¿Cómo Hacer del Miedo una Fiesta? Resignificación de la memoria sobre el conflicto armado en Medellín”";"Colegiatura Colombiana Institución Universitaria- Cesar Augusto Palencia Triana";999;999;"investigacion@colegiatura.edu.co";"3202495912";3;999;"Esta experiencia se recopiló por medio del envío masivo de correos electrónicos";22;22;999;999;999;1;5;4;999;999;999;999;"Es una experiencia de investigación-creación que se instala en el ámbito de las áreas creativas y propone, desde un enfoque cualitativo, la generación de nuevo conocimiento. Reconoce las condiciones históricas del contexto a investigar y como estudio exploratorio, según lo proponen Daza y Sampieri  et  al.,  permite  un  acercamiento  a fenómenos relativamente desconocidos, que buscan dar sentido y fundamentación a una acción creativa que transforme al ser humano actor-espectador, y a partir de sí a su contexto. Como lo expone Valladares:

“…el  ser  humano ha  cambiado su  postura frente  a  su  relación con  el
ecosistema, la ciencia, el arte y la sociedad e incluso consigo mismo. Ya no será  más  un  observador  atento,  ni  siquiera  un  interventor  en  esas realidades; sino, que será parte de las relaciones que inciden en ellas, parte de éstas, una vez que se integra a estudiarlas y transformarlas…” (p8).

Para cumplir el objetivo de la investigación, se aplicaron diferentes técnicas categorizadas como sociales e intuitivas. Estas, se llevaron a cabo en las siguientes fases:
En una primera fase, se hizo un acercamiento a la población constituida por excombatientes y desmovilizados de grupos armados al margen de la ley, reclusos de un  centro  penitenciario  en  Antioquia.  A  través  de  la  observación  participante acompañada por un tinto, se realizó una presentación mutua y una explicación del proyecto. Durante esta primera conversación se habló sobre grado de escolaridad, tiempo vinculados a los grupos armados y recluidos en cárcel, actividades que realizan como reclusos y proyecciones futuras. Se hizo también una visita por el lugar y una asimilación de los espacios. Estos lugares, cocina y “terraza”, fueron los escenarios en donde se realizaron las diferentes actividades.

En la fase dos, se aplicaron talleres de interacción con grupos focales. Esta técnica permitió un proceso de construcción de los productos, los cuales según el área de enfoque fueron categorizados en dos grupos, gastronomía y diseño. Los productos fueron: un recetario narrativo para el área de gastronomía y un molde de una prenda de vestir para diseño, y como creación conjunta para ambas áreas, una huerta abarcada desde estos dos enfoques. Por otro lado, la recopilación de testimonios, producto de las conversaciones durante las diferentes actividades, se emplearon para complementar el análisis de dichos productos.

En el área de gastronomía se realizaron en la cárcel, de manera conjunta entre las investigadoras y la población de reclusos, tres talleres de cocina. Se preparó arroz con mariscos, mote de queso y fríjoles antioqueños, recetas tradicionales escogidas por los reclusos. Estas preparaciones fueron modificadas en el momento de la elaboración, primero debido a la disponibilidad de insumos y segundo por los saberes aportados desde ambas partes. Durante estos encuentros de  conversaciones sobre diferentes temas, entre ellos: la vinculación al conflicto armado, las formas de resignificar la memoria a través de los recuerdos culinarios y el papel mediador colaborativo de la cocina  en  las  relaciones  sociales.  

Como  resultado  de  estas  conversaciones,  se elaboró una huerta con semillas de ingredientes de cocina tradicional colombiana. Dicha acción rescató la importancia de la autonomía en la alimentación y la identidad cultural que se comparte al “sentarse juntos en la mesa”. De igual forma, la huerta se asumió,  a  manera  de  metáfora,  como  un  compromiso  con  la  vida  de  quienes comparten el territorio y el respeto por los que la habitan. En el caso de diseño, se realizaron cuatro encuentros, durante los cuales se generaron debates alrededor de conceptos, como: moda, desmitificación, encuentro, pertenencia e identidad. Durante estos se elaboró una conceptualización y el moodboard, para llegar a un producto de diseño cocreativo, la materialización de un molde de una prenda vestimentaria. También, se construyó una huerta vertical, como una forma de recordar la importancia de construir, de manera conjunta, aquello que brinda autonomía e identidad. Esta construcción fue referente de unidad y conciliación.

En la tercera fase se organizó, clasificó y analizó la información recopilada en campo. Con el fin de generar una reflexión sobre el tejido social se materializan los productos antes mencionados. Toda esta información ayudó a la identificación de los causantes de miedo en la población de reclusos, detonadores de conflicto, y las maneras de resignificar la memoria colectiva de los involucrados en la investigación. A través de la huerta, que permanece en la cárcel como actividad transformadora del miedo en fiesta, se logró una primera reflexión. A su vez, el recetario sirvió de constancia del reconocimiento, realizado por los excombatientes, sobre la conciliación propiciada en la cocina. Este ejercicio narrativo incluyó: las preparaciones amenizadas por los testimonios de cárcel y las percepciones de los significados y las relaciones entre la alimentación y la memoria culinaria.


 | Identificar algunas experiencias sensibles de transformación de Excombatientes que se encuentran privados de la libertad, mediante prácticas del diseño y la cocina que les ha permitido modificar el rumbo de su vida.";"37== Reclusos";"La memoria individual y colectiva de excombatientes del conflicto y estudiantes universitarios, logra modificarse en cuanto a la posibilidad, que brinda la cocina, de reconstruir recuerdos y mutar sentidos. ¿Cómo hacer del miedo una fiesta? permitió hervir elementos discrepantes que marcaron la memoria, para realizar un cocido de relaciones bajo la creación y la interacción. Como experiencia investigativa, se destaca el valor social de la cocina, que a su vez tiene una capacidad movilizadora. Se remarca la importancia de valorar la tradición, las labores del campo y los conocimientos de portadores de patrimonio, en este caso culinario, para la reconstrucción y prevalencia de la memoria. Desarrollar experiencias creativas desde la gastronomía, abarca vincular estudiantes en la resignificación de la memoria del conflicto armado en su ciudad, donde la cocina actúa como instrumento que aporta a la construcción del tejido social.";"28== Derecho a participar en la vida cultural de la comunidad";999;999;999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de transformaciones para la paz";"1 == si";"1 == si";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;1,74794520547945;"0-5 años"
"Exp_91_Doc_146_Form";"MapeoSNPS";1/12/2005;0;999;"Huila";"Rivera";999;999;999;999;0;999;2;" Asamblea Municipal Constituyente en el municipio de Rivera ";" Asamblea Municipal Constituyente en el municipio de Rivera ";"nace como respuesta de la sociedad civil al incremento de la violencia en el municipio y como espacio importante para promover la participación ciudadana. Más recientemente está la declaración de Algeciras como Laboratorio de Paz mediante ordenanza número 010 de la Asamblea Departamental, con la intención de focalizar";"Asamblea Municipal Constituyente";999;999;3;999;"Meza, M. C. (2015). Huila y Caquetá. Capacidades locales para la paz. Fundación Ideas para la Paz (FIP). Obtenido de http";32;999;999;999;999;2;1;5;999;999;999;999;"La Asamblea Municipal Constituyente “José Eustasio Rivera” fue instalada en el 2005, pero, dada la fuerza de la guerra, no logró posicionarse hasta el 2006. Uno de sus procesos más destacados fue su respuesta pacífica y contundente a la masacre de nueve de los once concejales municipales, ejecutada por la “Columna Móvil Teófilo Forero” de las FARC-EP- el 27 de febrero de 2006. Definición de la necesidad de un Mandato Ciudadano Por La Vida, La Dignidad Humana Y La Paz, que fuese como un grito soberano, democrático y pacifista capaz de concitar la atención integral de los gobiernos municipal, departamental y nacional, del movimiento de paz colombiano, de la comunidad internacional y de la cúpula de las FARC, para la resolución de su crisis.http";"33== Campesinos";"Los despojos a campesinos e indígenas y";"3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos";"31== Derecho a la paz";999;999;999;"1 == si fue una experiencia de resistencia no violenta";"1 == si";"1 == si";"0 == no";"0 == no";"0 == no fue una experiencia de transformaciones para la paz";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;"0 == no";999;999;"1 == si";"FARC (antes de 2016) | Sociedad civil organizada | Campesinos";999;"1 == si";"4 == Conflictos derivados del control territorial de actores armados";"1 == si";"1 == Conflictos derivados de los cultivos ilícitos";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";999;999;999;999;;
"Exp_90_Doc_146_Form";"MapeoSNPS";1/12/1997;0;999;"Caquetá";"El Pato-Balsillas";999;999;999;999;0;999;2;" Asociación campesina Reserva del Pato ";" Asociación de Colonos";"entra a negociar con el Gobierno y afortunadamente lograron que a las personas";"Asociación de Colonos";999;999;3;999;"Meza, M. C. (2015). Huila y Caquetá. Capacidades locales para la paz. Fundación Ideas para la Paz (FIP). Obtenido de http";32;999;999;999;999;2;1;999;999;999;999;999;"Generar espacios de diálogo y concertación de la comunidad campesina, para dar solucion a la problemática social que enfrenta su comunidad, esto generado por la presencia de grupos armados y la falta del apoyo del gobierno, la comunidad toma la iniciativa de organizarce para establecer mesas de trabajo que les permitan conocer las problematicas que mas aquejan a su comunidad, generando estrategias para solucionarlas.";"33== Campesinos";"La Zona de Reserva Campesina se inició en 1997. Entramos a negociar con el Gobierno y afortunadamente logramos que a las personas se les resolviera el tema de la tenencia de tierras en el sector";"3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos";"23== Derecho al trabajo";999;999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de transformaciones para la paz";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de tramitación y gestión pacífica de conflictos";"1 == si";"0 == no";"0 == no";999;"0 == no";"Entrar a negociar con el Gobierno y que a las personas";999;"1 == si";"Gobierno (nivel municipal) | Gobierno (nivel departamental) | Campesinos";999;"1 == si";"4 == Conflictos derivados del control territorial de actores armados";"0 == no";999;"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si";999;999;999;999;;
999;"Matriz de operativización profundizaciones";1/1/1999;0;999;"Antioquia";"Turbo";999;999;999;999;0;999;1;" Asociación Talento y Futuro";"Jóvenes de Turbo";999;999;999;999;3;999;"FICHA DE ENTREVISTA: Fases de aproximación y profundización de Fecha: de 7 febrero 2020.en el marco del proyecto mapeo de experiencias de convivencia Pastoral Social, CEV y GIZ
Link: https://cecdemo5-my.sharepoint.com/:f:/g/personal/mapeoexperienciassnps_cec_org_co/ErUUzci4XqVAj7Royouw6KYBq0QgcLsaMOqYwj-0pcoNWQ?e=uOhqBq
https://pares.com.co/2019/04/26/la-paz-se-reinventa-en-pueblo-bello/
https://pacifista.tv/notas/aferrados-al-teatro-para-ganarle-a-la-violencia/";26;27;999;999;999;2;4;999;999;999;999;"Este grupo de jóvenes usan el teatro como un agente transformador, en medio de un contexto de conflicto armado que no ha cesado.
El uso de la música nació ""nació para crear una banda sinfónica para el teatro, una banda que acompañara con sonidos teatrales a los montajes"" y luego se consolidó como una una práctica a través de la cual los niños, niñas y jóvenes que no encontraban en el teatro o la danza el lenguaje de expresión, pudieran hacerlo. Así la escuela de música ha tenido un importante éxito en la apueta de la experiencia.";"Se considera que es una resistencia desde lo cotidiano porque su esencia fue generar una respuesta de defensa ante el reclutamiento forzado que se presenta en el municipio, el cual no ha cesado y se ha convertido en un ejercicio diario por proponer acuerdos y promover más iniciativas para no permitir el reclutamiento. Así mismo, se creó de manera orgánica, respondiendo a las necesidades específicamente de la población juvenil en medio del conflicto armado, y es tanto el reclutamiento como el ingreso al microtráfico.";"27 == Jóvenes";"La organización tiene una presencia muy importante en Urabá y específicamente en Pueblo Bello, porque se ha desarrollado desde hace más de 20 años, brindando oportunidades a los jóvenes de la zona para conocer y reconocer sus habilidades y potencialidades que incluso les permitan a ellos generar un proyecto de vida económico por medio del teatro.
""Han trabajado con más de mil personas -400 de ellas desmovilizadas de las autodefensas- durante los últimos 16 años"", hecho descatable en la búqueda de la reconstrucción del tejido social, teniendo en cuenta la masacre perpetrada en 1990 en Pueblo Bello por los paramilitares.";"3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos";"31== Derecho a la paz";999;999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de transformaciones para la paz";"1 == si";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;"0 == no";999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;
"Exp_89_Doc_146_Form";"MapeoSNPS";999;0;999;"Huila";"Tello";999;999;999;999;0;999;2;" Gestores Humanitarios";" JAC";"Estos";"Campesinos y productores, integrantes de la JAC";999;999;3;999;"Meza, M. C. (2015). Huila y Caquetá. Capacidades locales para la paz. Fundación Ideas para la Paz (FIP). Obtenido de http";32;18;999;999;999;1;1;2;999;999;999;999;"generar normas de convivencia en sus comunidades, mediar en los conflictos comunitarios y velar por sus derechos, estableciendo espacios de diálogo que permitan dar solución a las problematicas que afronta la comunidad,con la creación de la JAC a comunidad se ve representada y escuchada por los actores que intervienen en el conflicto de dicha zona.";"33== Campesinos";"Y JAC Juntas de acción comunal Implementar el uso de plataformas, para fortalecer su porceso de convivencia y conocer mas a fondo sus derechos y deberes como comunidad.";"3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos";"31== Derecho a la paz";"23== Derecho al trabajo";999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de transformaciones para la paz";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"1 == si";"0 == no";999;"1 == si";"Asisitieron a capacitaciones ofrecidas por plataformas, capacitándose en los fundamnetos de como crear una JAC, conociendo los objetivos del por qué y para qué crea una JAC y los mas importante  como dar solucion a sus dificultades.";999;"1 == si";"campesinos | Gobierno (nivel municipal)";999;"1 == si";"1 == Conflictos por la distribución del poder político y restricciones a la participación política";"0 == no";999;"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";999;999;999;999;;
"CorreosMasivos_44";"MapeoSNPS";3/10/2016;1;10/3/2020;"Nacional";999;999;999;999;999;0;999;999;" Plataforma nacional LGBTI por la paz";"PLATAFORMA LGBTI POR LA PAZ";999;999;"lgbtiporlapaz@gmail.com";"3135960016";3;999;"Esta experiencia se recopiló por medio del envío masivo de correos electrónicos";28;999;999;999;999;5;1;999;999;999;999;999;"La Plataforma Nacional ‘LGBTI POR LA PAZ' surge en 2016 para la defensa e implementación del enfoque de género en el Acuerdo de Paz, algo inédito en el mundo. Facilitamos la participación de cerca de 200 organizaciones, en el acceso al Sistema Integral de Verdad, Justicia, Reparación y Garantías de No Repetición (SIVJRNR). La experiencia en buenas prácticas sobre justicia transicional incluye recolección de información y coadyuvancia en presentación de informes sobre violencias contra personas LGBTI durante el conflicto armado (1958-2016) ante la Jurisdicción Especial de Paz (JEP), la Comisión para el Esclarecimiento de la Verdad (CEV) y la Unidad de Búsqueda de Personas dadas por Desaparecidas (UBPD). | La Plataforma visibiliza y amplifica voces de comunidades marginadas en orden a construir alianzas estratégicas relevantes entre diversos activismos; liderazgos sociales, políticos, económicos y espirituales; académicxs; servidores públicos; agentes internacionales; formadores de opinión y comunicadorxs; víctimas y defensorxs de derechos humanos.";"29 == Sectores LGBTI";"No es una coincidencia que al ocurrir los diálogos del Gobierno con la guerrilla FARC-EP, tanto en 2000 como en 2016, se hayan dado dos de los momentos más importantes de dinamismo, organización, visibilización, incidencia y reconocimiento del movimiento LGBTI en el país.";"1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado";"17== Derecho a la libertad de pensamiento, conciencia y religión";999;999;999;"1 == si fue una experiencia de resistencia no violenta";"0 == no";"1 == si";"0 == no";"1 == si";"0 == no fue una experiencia de transformaciones para la paz";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;3,43561643835616;"0-5 años"
"Memorias_Germinan_27";"MemoriasGerminan";999;0;999;"Putumayo";"Barbacoas";999;999;999;999;0;999;999;"¡Ñambi y telembi viven! Tejiendo memoria y resistencia Inkal Awá";"Gran familia Awá: Unipa, Camawari, Asipap Unipa/Resguardo Tortugaña Telembi";999;999;999;999;3;999;"Centro Nacional de Memoria Historica (2019). Memorias que germinan. Ultimo acceso March 9, 2020, en http://centrodememoriahistorica.gov.co/un-recorrido-al-pais-a-traves-de-20-iniciativas-de-memoria/";18;999;999;999;999;1;4;1;999;999;999;999;"El Resguardo indígena Awá UNIPA – Tortugaña – Telembí, fue ganador de un estímulo para proyectos
museológicos con énfasis en memoria histórica asociada al conflicto armado, otorgado en la 1ra. Convocatoria de
Estímulos a Iniciativas de Memoria, realizada por el CNMH en alianza con el Ministerio de Cultura.
Como un acto de conmemoración y lucha, la comunidad diseñó la exposición “¡Ñambi y Telembí viven! Tejiendo
memoria y resistencia Inkal Awá”,un proyecto itinerante en conmemoración y armonización de los hermanos caídos
en el conflicto armado, recordando la masacre del 4 de febrero del 2009, como parte esencial del reconocimiento
como víctimas.
El 12 de diciembre de 2013 se exhibió la exposición en el Museeo Casona de Taminango con fotografías y textos
que rememoran la masacre de 2009 en el Resguardo Tortugaña-Telembi, donde 17 indígenas Awá fueron
asesinados. Ñambí y Telembí son los dos ríos que hacen parte del territorio y que dan el nombre a los dos niños
que fueron asesinados antes de nacer y a quienes la comunidad quiere recordar siempre.
Este proyecto también contempló la visibilización y difusión de una acto de resistencia comunitaria sin
precedentes, en donde mas de 700 indígenas de las diferentes organizaciones y pueblos hermanos acompañaron
la Minga humanitaria por la vida y dignidad el pueblo Inkal Awá quienes recorrieron sus territorios, cruzando ríos y
quebradas, para dar cuenta de la barbarie cometida y recuperar los cuerpos de los indígenas asesinados.
En 2014, la exposición estuvo durante un mes en el Centro de Memoria, Paz y Reconciliación de Bogotá.
A mediano y largo plazo, pretenden adelantar procesos de memoria que culminen en una investigación y la
construcción de un lugar de memoria Awá.";"49== Indígenas";999;"1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado";"31== Derecho a la paz";"32== Derecho a la autodeterminación de los pueblos (incluyendo minorías étnicas y culturales)";999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"1 == si";"1 == si fue una experiencia de transformaciones para la paz";"0 == no";"1 == si";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;
"Registro_Iniciativas_CNMH_6";"RegistroIniciativasCNMH";999;0;999;"Nariño";"Tumaco";999;999;999;999;0;999;999;"¡Y yo levanto mi voz! Memorias de
resistencia y paz en Tumaco";"Diócesis de Tumaco - Pastoral
Social. Agrupación ARS
Componente Afro, Agrupación
Represent Tumaco, Tatiana
Benítez, Yurimar, Master Rap.
Angel María Estacio Alegría, Nila
del Socorro Castillo Rodríguez,
Octavio Montes Arango, Yolanda
Ramos, Mailen Aurora Quiñones
Mosquera, Cruz Yolima Palacios
Ferrín";999;999;999;999;3;999;"Centro Nacional de Memoria Historica (2019). Registro de Iniciativas. Ultimo acceso March 9, 2020, en http://web.centrodememoriahistorica.gov.co/registro-de-iniciativas";1;7;49;999;999;2;1;4;999;999;999;999;"¡Y yo levanto mi voz! es un compilado que reúne las voces y memorias de algunos hombres y mujeres de Tumaco
que por medio de la música y la poesía presentan narrativas sonoras acerca de las historias de desigualdad,
conflicto armado y resistencias que han tenido lugar en la región del Pacífico Nariñense durante los últimos años.
Sus versos, letras y composiciones son una voz que rompe el miedo, en la cual se entretejen las memorias de las
luchas de las comunidades afrodescendientes, los estragos del conflicto armado y de políticas de desarrollo en su
territorio y subjetividades, así como sus sueños de paz y reparación. Este proceso es resultado del trabajo conjunto
entre el Centro Nacional de Memoria Historica y la Diócesis de Tumaco en torno al fortalecimiento de los lenguajes
y narrativas locales de las IMH del Pacífico Sur en 2015.";"50== Afrocolombianos";999;"1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado";"31== Derecho a la paz";"32== Derecho a la autodeterminación de los pueblos (incluyendo minorías étnicas y culturales)";999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de transformaciones para la paz";"1 == si";"1 == si";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;
"Memorias_Germinan_26";"MemoriasGerminan";999;0;999;"Nariño";"Tumaco";999;999;999;999;0;999;999;"26 de agosto: del silencio al camino de la resistencia Inkal Awá";"Resguardo indigena Awá de Gran Rosario";999;999;999;999;3;999;"Centro Nacional de Memoria Historica (2019). Memorias que germinan. Ultimo acceso March 9, 2020, en http://centrodememoriahistorica.gov.co/un-recorrido-al-pais-a-traves-de-20-iniciativas-de-memoria/";48;999;999;999;999;1;4;1;999;999;999;999;"Mediante una muestra audiovisual y fotográfica se quiere mostrar el proceso de reconstrucción de memoria de la
masacre del 26 de agosto en el resguardo a través de las historias de sobrevivientes, de los lugares sagrados
afectados y de quienes fallecieron, resaltando también la reconstrucción del tejido social que ha hecho la
comunidad. Producto: Galería y video.
La iniciativa de memoria histórica consiste elaborar una muestra audiovisual y fotográficaque permita mostrar el
proceso de reconstrucción del tejido social del resguardo de Gran Rosario, dentro de los procesos de memoria
entender los impactos de los hechos allí ocurridos; Además de potencializar las historias de vida de quienes
sobrevivieron a esta tragedia y de darle un rostro y una voz a quienes fallecieron. Este camino permitirá a través
de las voces de los sobrevivientes de nuestras comunidades contarán lo ocurrido, pero también el proceso de re
construcción del plan de vida de las comunidades afectadas, puesto que la situación del conflicto armado no ha
cesado y algunas comunidades continúan con el temor que los sucedido en el 2009 vuelva ocurrir, siendo
necesario que dicho proceso se avance desde nuestro buen vivir y bien vivir como parte del ser Inkal Awá.
Un aspecto que se quiere trabajar es identificar los lugares sagrados donde se vivieron hechos violentos a causa
del conflicto armado, y a que son contenedores de historias dolorosas, que permanecen en el olvido.";"49== Indígenas";999;"1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado";"31== Derecho a la paz";"32== Derecho a la autodeterminación de los pueblos (incluyendo minorías étnicas y culturales)";999;999;"0 == no fue una experiencia de resistencia no violenta";"0 == no";"0 == no";"0 == no";"0 == no";"1 == si fue una experiencia de transformaciones para la paz";"0 == no";"1 == si";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;
"Registro_Iniciativas_CNMH_178";"RegistroIniciativasCNMH";999;0;999;"Nariño";"Pasto";999;999;999;999;0;999;999;"4 vidas, el documental";"Corporación Ágora Club";999;999;999;999;3;999;"Centro Nacional de Memoria Historica (2019). Registro de Iniciativas. Ultimo acceso March 9, 2020, en http://web.centrodememoriahistorica.gov.co/registro-de-iniciativas";28;999;999;999;999;999;1;4;999;999;999;999;"""4 vidas, el documental"" es una iniciativa audiovisual que narra las distintas formas de violencia enmarcadas en el
conflicto armado, que tuvieron que afrontar 4 mujeres trans. Este documental tiene como propósito constituirse en
una herramienta para abordar el tema LGBTI desde la óptica de aquellas personas, quienes por causa de su
orientación sexual o de su Identidad de Género sufrieron los rigores de esa violencia sin sentido, que como país
nos ha afectado por más de 50 años.
Esta pieza comunicativa, no se detiene solamente en ver a sus protagonistas como víctimas, sino además nos
permite ver cómo ellas han logrado salir adelante, tomar las riendas de sus vidas y convertirse en lideresas de sus
grupos poblacionales, siendo ahora referentes en la causa social en búsqueda del reconocimiento y reivindicación
de sus derechos.
4 Vidas – el documental abordará, a modo de entrevistas, la vida de 4 mujeres trans de Nariño, para adentrarnos
en su intimidad personal y conocer de primera mano, todos aquellos hechos que han rodeado sus existencias.
Cada quién nos relatará su visión del mundo, sus vivencias y dificultades personales, como consideran que
debería ser el mundo.
Distintos hechos de violencia son recurrentes alrededor de las personas de los sectores sociales LGBTI, muchos
de esos hechos están relacionados o enmarcados en el conflicto armado. Este documental nos permitirá saber qué
hechos de discriminación o de violencia se les han presentado a las/os protagonistas y cómo los han afrontado y
qué enseñanzas les han dejado. Con ellas dialogaremos sobre distintos aspectos sociales, de las distintas
violencias, de la actualidad nacional, del conflicto armado y de la etapa del pos acuerdo al cual va a entrar nuestro
país.
Retos, metas, aspiraciones, objetivos y la construcción del proyecto de vida personal, serán aspectos a tratar en
esta producción.";"29 == Sectores LGBTI";999;"1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado";"17== Derecho a la libertad de pensamiento, conciencia y religión";999;999;999;"1 == si fue una experiencia de resistencia no violenta";"1 == si";"0 == no";"0 == no";"1 == si";"0 == no fue una experiencia de transformaciones para la paz";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no";"0 == no fue una experiencia de tramitación y gestión pacífica de conflictos";"0 == no";"0 == no";"0 == no";999;999;999;999;"0 == no";999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;999;;
